predict,p0,p1
1,0.2708162208833307,0.7291837791166693
0,0.7594588052157677,0.2405411947842322
1,0.0754100307746223,0.9245899692253776
1,0.3227949408296127,0.6772050591703873
0,0.8687096698517083,0.1312903301482917
0,0.965898258157399,0.0341017418426009
0,0.8889744029662638,0.1110255970337362
1,0.3600132060023208,0.6399867939976792
1,0.5383565965119873,0.4616434034880127
1,0.1784853996442961,0.8215146003557039
0,0.5824707460671852,0.4175292539328148
0,0.9687099568512836,0.0312900431487162
0,0.7850855807763139,0.2149144192236861
0,0.7841934780404274,0.2158065219595725
0,0.749428004949615,0.2505719950503849
1,0.4930459964794392,0.5069540035205607
0,0.7073448071162357,0.2926551928837643
0,0.7733059237605372,0.2266940762394628
0,0.9128043804927952,0.0871956195072047
1,0.3268288826908453,0.6731711173091547
0,0.946475927543083,0.053524072456917
0,0.7593781210625269,0.2406218789374731
1,0.2575023243506489,0.7424976756493511
0,0.959479230871006,0.0405207691289939
1,0.2533161737912429,0.7466838262087571
1,0.0595551201363658,0.940444879863634
1,0.2302791734277582,0.7697208265722417
1,0.2163015385486398,0.7836984614513601
0,0.6465455965701153,0.3534544034298846
1,0.2473148782676835,0.7526851217323165
1,0.0715473764814231,0.9284526235185768
0,0.9224685701408072,0.0775314298591929
0,0.8153548183716978,0.1846451816283022
0,0.7779314201427712,0.2220685798572289
1,0.5344869085278647,0.4655130914721353
0,0.896790110999074,0.103209889000926
1,0.480789209588244,0.519210790411756
1,0.4272474715015026,0.5727525284984973
0,0.6157609758444289,0.3842390241555711
1,0.1908972263087667,0.8091027736912333
1,0.4939913763530568,0.5060086236469432
1,0.3284297496663356,0.6715702503336644
1,0.460566993191142,0.539433006808858
0,0.7742489649312371,0.2257510350687629
0,0.5837141237584278,0.4162858762415721
1,0.2774310677769032,0.7225689322230968
1,0.158478775173342,0.8415212248266579
1,0.1293683573880807,0.8706316426119193
0,0.9203883562898414,0.0796116437101586
0,0.8696664061699375,0.1303335938300624
1,0.0216428915203257,0.9783571084796744
1,0.3179894173978131,0.6820105826021868
0,0.8204483897005209,0.179551610299479
0,0.960254575442444,0.0397454245575559
0,0.7489716790338328,0.2510283209661673
0,0.9553935943261735,0.0446064056738263
1,0.3498001435286347,0.6501998564713652
1,0.4577331075496897,0.5422668924503102
0,0.9715142247108892,0.0284857752891109
1,0.5556115368567652,0.4443884631432347
1,0.48065001682957,0.51934998317043
0,0.6614212775264416,0.3385787224735584
1,0.4647728131893552,0.5352271868106447
1,0.0633563362498017,0.9366436637501984
0,0.8599338589234018,0.1400661410765982
1,0.4122965359697841,0.5877034640302159
0,0.8658587471458276,0.1341412528541724
0,0.7251950639216728,0.2748049360783272
0,0.8801923729799828,0.1198076270200172
0,0.7167980809206239,0.2832019190793761
0,0.8496877875915868,0.1503122124084132
0,0.8383357630171154,0.1616642369828845
0,0.9029278669601776,0.0970721330398222
0,0.6886449025963948,0.3113550974036052
0,0.847727633564403,0.152272366435597
0,0.843163179127932,0.1568368208720679
1,0.0576208890193019,0.942379110980698
0,0.8710168317174245,0.1289831682825755
1,0.2384705091258906,0.7615294908741094
1,0.1414573023071678,0.8585426976928322
0,0.70202431866242,0.2979756813375799
0,0.936758299373237,0.063241700626763
0,0.5778982630334226,0.4221017369665774
1,0.3674602475441055,0.6325397524558944
0,0.9628969197820554,0.0371030802179446
1,0.4273649031173234,0.5726350968826766
0,0.8306455647459908,0.1693544352540091
1,0.105407177286792,0.894592822713208
1,0.5089069872285898,0.4910930127714101
1,0.1012223083134582,0.8987776916865418
1,0.1608351439849206,0.8391648560150794
1,0.4597649319037423,0.5402350680962577
1,0.3590298183987023,0.6409701816012977
1,0.3650181327974323,0.6349818672025677
0,0.7606243419932124,0.2393756580067876
0,0.7868783194669452,0.2131216805330548
0,0.9459071168547358,0.0540928831452641
1,0.0866986890025713,0.9133013109974286
0,0.7458675782251227,0.2541324217748772
0,0.9748895902256508,0.025110409774349
0,0.7974731054935512,0.2025268945064487
0,0.9334188369295991,0.0665811630704008
1,0.3634465114676872,0.6365534885323128
0,0.9570321190828254,0.0429678809171746
0,0.9848699893877374,0.0151300106122625
0,0.628017923955717,0.371982076044283
1,0.3191299531733856,0.6808700468266143
0,0.8954772741119533,0.1045227258880466
1,0.0494212417760243,0.9505787582239756
0,0.6222607790874821,0.3777392209125178
1,0.0819657689990356,0.9180342310009644
0,0.596377315764857,0.403622684235143
1,0.323151240122031,0.676848759877969
1,0.3430659767547629,0.6569340232452371
1,0.4769678906374162,0.5230321093625838
0,0.7650552183531412,0.2349447816468587
1,0.172831100191408,0.827168899808592
0,0.7790467436824464,0.2209532563175536
1,0.3332800531484632,0.6667199468515368
1,0.4737814176764974,0.5262185823235026
1,0.4028654856948251,0.5971345143051748
0,0.949140065776366,0.050859934223634
0,0.7306857063971158,0.2693142936028841
0,0.8657234078619738,0.1342765921380262
1,0.2299413363158423,0.7700586636841577
1,0.2102861979601447,0.7897138020398553
0,0.8806785087386966,0.1193214912613034
1,0.3562520841917621,0.6437479158082379
1,0.5543005675884503,0.4456994324115497
0,0.8232555814948295,0.1767444185051705
0,0.6094797294568952,0.3905202705431048
0,0.8741830732211511,0.1258169267788489
1,0.2818192256162936,0.7181807743837064
1,0.5081946752280626,0.4918053247719374
0,0.8872549105048588,0.1127450894951411
1,0.2434134450552435,0.7565865549447565
1,0.1397085287523924,0.8602914712476075
